day_of_week,time_in,time_out,spot_count,unique_customers,total_revenue,avg_spot_rate,duration_minutes
friday,6:00:00,23:59:00,1240,32,30459.14,67.54,2519
thursday,6:00:00,23:59:00,1209,32,41722.56,84.8,2519
tuesday,6:00:00,23:59:00,1142,33,28194.5,63.64,2519
monday,6:00:00,23:59:00,1118,32,31891.9,69.94,2519
wednesday,6:00:00,23:59:00,1116,31,28360.99,65.5,2519
sunday,6:00:00,23:59:00,1061,33,23351.7,66.72,2519
saturday,6:00:00,23:59:00,1032,32,18441.86,52.99,2519
sunday,16:00:00,19:00:00,590,36,6699.6,36.41,180
saturday,16:00:00,19:00:00,574,35,6104.75,38.15,180
saturday,19:00:00,23:59:00,389,21,3292.05,49.88,299
sunday,19:00:00,23:59:00,346,22,2262.7,41.14,299
saturday,6:00:00,7:00:00,123,8,4689.73,38.13,60
tuesday,6:00:00,21:00:00,76,1,5166.07,90.63,2340
wednesday,6:00:00,21:00:00,74,1,4789.29,90.36,2340
saturday,6:00:00,21:00:00,71,1,3989.29,88.65,2340
monday,6:00:00,21:00:00,66,1,4351.79,92.59,2340
friday,6:00:00,21:00:00,58,1,3551.79,91.07,2340
sunday,6:00:00,21:00:00,52,1,3467.86,93.73,2340
thursday,6:00:00,21:00:00,51,1,3082.14,88.06,2340
saturday,6:00:00,8:00:00,44,3,2280.0,87.69,120
sunday,6:00:00,8:00:00,34,3,2280.0,87.69,120
friday,6:00:00,23:00:00,30,1,,,2460
saturday,6:00:00,23:00:00,29,2,42.0,21.0,2460
friday,11:00:00,23:59:00,28,1,,,779
monday,11:00:00,23:59:00,28,1,,,779
saturday,11:00:00,23:59:00,28,1,,,779
sunday,11:00:00,23:59:00,28,1,,,779
thursday,11:00:00,23:59:00,28,1,,,779
tuesday,11:00:00,23:59:00,28,1,,,779
wednesday,11:00:00,23:59:00,28,1,,,779
wednesday,6:00:00,23:00:00,28,1,,,2460
monday,6:00:00,23:00:00,27,1,,,2460
saturday,19:00:00,21:00:00,27,1,1457.75,53.99,120
thursday,6:00:00,23:00:00,25,1,,,2460
sunday,6:00:00,23:00:00,24,1,,,2460
tuesday,6:00:00,23:00:00,24,1,,,2460
saturday,19:00:00,23:30:00,22,1,743.75,33.81,270
sunday,19:00:00,21:00:00,22,1,1218.9,55.4,120
wednesday,18:00:00,23:59:00,19,1,,,359
monday,18:00:00,23:59:00,18,1,,,359
thursday,13:00:00,23:59:00,18,3,600.0,50.0,659
tuesday,13:00:00,23:59:00,18,3,500.0,50.0,659
tuesday,18:00:00,23:59:00,18,1,,,359
monday,13:00:00,23:59:00,16,3,500.0,50.0,659
wednesday,13:00:00,23:59:00,16,3,400.0,50.0,659
sunday,19:00:00,23:30:00,15,1,510.0,34.0,270
saturday,13:00:00,23:59:00,14,1,700.0,50.0,659
sunday,13:00:00,23:59:00,10,1,500.0,50.0,659
friday,13:00:00,23:59:00,9,2,400.0,50.0,659
friday,18:00:00,23:59:00,7,1,,,359
thursday,18:00:00,23:59:00,7,1,,,359
tuesday,6:00:00,22:00:00,6,1,,,2400
saturday,19:00:00,23:00:00,5,1,,,240
monday,6:00:00,22:00:00,4,1,,,2400
thursday,6:00:00,22:00:00,4,1,,,2400
saturday,6:00:00,22:00:00,3,1,,,2400
saturday,7:00:00,23:59:00,3,1,,,2459
sunday,19:00:00,23:00:00,3,1,,,240
sunday,7:00:00,23:59:00,3,1,,,2459
wednesday,6:00:00,22:00:00,3,1,,,2400
friday,16:00:00,20:00:00,2,1,,,240
friday,16:00:00,23:59:00,2,1,,,479
friday,6:00:00,22:00:00,2,1,,,2400
friday,7:00:00,23:59:00,2,1,,,2459
monday,16:00:00,23:59:00,2,1,,,479
monday,7:00:00,23:59:00,2,1,,,2459
saturday,16:00:00,23:59:00,2,1,,,479
saturday,18:00:00,23:59:00,2,1,,,359
sunday,16:00:00,20:00:00,2,1,,,240
sunday,16:00:00,23:59:00,2,1,,,479
thursday,16:00:00,23:59:00,2,1,,,479
tuesday,16:00:00,23:59:00,2,1,,,479
tuesday,7:00:00,23:59:00,2,1,,,2459
wednesday,16:00:00,23:59:00,2,1,,,479
wednesday,7:00:00,23:59:00,2,1,,,2459
friday,12:00:00,14:00:00,1,1,25.5,25.5,120
friday,13:00:00,17:00:00,1,1,,,240
friday,13:00:00,19:00:00,1,1,,,360
monday,16:00:00,20:00:00,1,1,,,240
monday,6:00:00,9:00:00,1,1,30.0,30.0,180
saturday,16:00:00,20:00:00,1,1,,,240
sunday,18:00:00,23:59:00,1,1,,,359
thursday,16:00:00,20:00:00,1,1,,,240
thursday,7:00:00,23:59:00,1,1,,,2459
tuesday,6:00:00,9:00:00,1,1,30.0,30.0,180
wednesday,16:00:00,20:00:00,1,1,,,240
